Name,Age,Score
Thomas,26,76
William,23,59
Charles,26,65
Catherine,23,96
Robert,27,95
Corey,23,76
Andrew,29,94
Christian,22,87
Natalie,18,58
Terri,18,100
Randy,18,68
Charles,21,50
Andrew,18,86
Teresa,19,62
Cindy,23,77
Danielle,19,64
Heather,19,66
Colton,22,100
Jason,29,69
Lisa,24,77
Sonya,23,76
William,18,56
Monica,30,53
Denise,23,81
Christina,19,68
Diana,30,70
Melanie,29,76
Nicole,23,96
Charles,22,94
Arthur,21,90
Richard,24,73
Patrick,20,82
Matthew,21,80
Jennifer,21,74
Jennifer,27,80
Eric,20,60
Kevin,18,61
Curtis,18,74
Matthew,23,57
Julie,19,90
Stanley,18,78
Savannah,29,66
Stephen,24,73
Adrian,18,58
Ryan,25,74
Ann,23,93
Kimberly,26,61
Nicholas,30,80
Cassandra,28,61
Patricia,23,89
