Name,Score
Adam,68.5
Adrian,86.0
Alec,64.0
Alex,66.0
Alexander,79.0
Alexandria,83.0
Amanda,78.0
Amy,75.5
Andrew,65.5
Angel,81.0
Angela,88.0
Ann,76.0
Anna,54.0
Ashley,76.0
Barbara,52.0
Benjamin,60.0
Bob,53.0
Bonnie,61.0
Brandon,89.0
Brenda,80.0
Brian,79.0
Briana,78.0
Bridget,69.0
Brittany,93.0
Brooke,91.0
Bryan,56.0
Caleb,56.0
Carol,88.0
Carrie,85.0
Cassidy,66.0
Catherine,79.0
Charles,84.0
Christine,54.0
Christopher,83.33333333333333
Cindy,63.0
Courtney,50.0
Craig,93.0
Daniel,68.0
Danielle,53.0
Darryl,81.0
David,67.0
Deanna,63.0
Debra,63.0
Denise,82.0
Derrick,67.0
Devin,88.0
Diana,79.0
Diane,58.0
Dominic,55.0
Donna,64.0
Dylan,96.0
Edward,56.0
Elizabeth,92.0
Emily,54.0
Emma,84.0
Erik,90.0
Frank,100.0
George,99.0
Hannah,90.0
Heather,59.0
Holly,70.0
Jack,86.0
Jacqueline,93.0
James,83.0
Jamie,83.0
Janice,71.0
Jasmine,87.0
Jason,76.5
Jenny,87.0
Jeremy,65.0
Jessica,67.8
Joel,76.0
John,74.0
Jon,79.0
Jonathon,77.0
Joseph,80.0
Joshua,74.5
Julie,60.0
Justin,66.0
Karen,100.0
Katherine,62.0
Kathryn,85.0
Katie,83.0
Keith,100.0
Kelly,74.5
Kent,85.0
Kevin,83.0
Kim,80.0
Kimberly,78.0
Kristine,84.0
Lauren,94.0
Lawrence,60.0
Leslie,85.0
Linda,67.0
Lisa,99.0
Luis,76.0
Lynn,81.0
Madison,80.0
Makayla,84.0
Marcus,77.0
Maria,96.0
Mark,77.66666666666667
Mason,53.0
Matthew,67.0
Megan,81.0
Melissa,69.5
Michael,81.0
Michelle,64.75
Molly,50.0
Nathaniel,54.0
Nicholas,57.0
Nicole,93.66666666666667
Pamela,94.0
Patricia,55.0
Patrick,74.0
Paul,75.0
Paula,85.0
Phillip,86.0
Rebecca,91.0
Richard,74.0
Ricky,52.0
Robert,68.5
Ryan,83.0
Sarah,85.5
Scott,70.33333333333333
Shannon,82.0
Shelly,73.0
Sherry,96.0
Stacy,57.0
Stephanie,51.0
Steven,68.0
Susan,71.0
Teresa,96.0
Theresa,100.0
Thomas,97.0
Tiffany,93.0
Timothy,90.0
Vanessa,78.0
Victoria,76.0
Virginia,68.5
William,74.75
Yolanda,76.0
