,Name,Age,Score
43,Adrian,18,58
12,Andrew,18,86
6,Andrew,29,94
45,Ann,23,93
29,Arthur,21,90
48,Cassandra,28,61
3,Catherine,23,96
11,Charles,21,50
28,Charles,22,94
2,Charles,26,65
7,Christian,22,87
24,Christina,19,68
14,Cindy,23,77
17,Colton,22,100
5,Corey,23,76
37,Curtis,18,74
15,Danielle,19,64
23,Denise,23,81
25,Diana,30,70
35,Eric,20,60
16,Heather,19,66
18,Jason,29,69
33,Jennifer,21,74
34,Jennifer,27,80
39,Julie,19,90
36,Kevin,18,61
46,Kimberly,26,61
19,Lisa,24,77
32,Matthew,21,80
38,Matthew,23,57
26,Melanie,29,76
22,Monica,30,53
8,Natalie,18,58
47,Nicholas,30,80
27,Nicole,23,96
49,Patricia,23,89
31,Patrick,20,82
10,Randy,18,68
30,Richard,24,73
4,Robert,27,95
44,Ryan,25,74
41,Savannah,29,66
20,Sonya,23,76
40,Stanley,18,78
42,Stephen,24,73
13,Teresa,19,62
9,Terri,18,100
0,Thomas,26,76
21,William,18,56
1,William,23,59
