Name,Score
Adrian,58.0
Andrew,90.0
Ann,93.0
Arthur,90.0
Cassandra,61.0
Catherine,96.0
Charles,69.66666666666667
Christian,87.0
Christina,68.0
Cindy,77.0
Colton,100.0
Corey,76.0
Curtis,74.0
Danielle,64.0
Denise,81.0
Diana,70.0
Eric,60.0
Heather,66.0
Jason,69.0
Jennifer,77.0
Julie,90.0
Kevin,61.0
Kimberly,61.0
Lisa,77.0
Matthew,68.5
Melanie,76.0
Monica,53.0
Natalie,58.0
Nicholas,80.0
Nicole,96.0
Patricia,89.0
Patrick,82.0
Randy,68.0
Richard,73.0
Robert,95.0
Ryan,74.0
Savannah,66.0
Sonya,76.0
Stanley,78.0
Stephen,73.0
Teresa,62.0
Terri,100.0
Thomas,76.0
William,57.5
